"","State","Report_year","gdp","Assaults","Assaults_percapita","Crimes_percapita","Homicides","Homicides_Percapita","Population","Rapes","Rapes_percapita","Robberies","Robberies_percapita","Violent_crimes","total_crime_rate","assault_rate","rape_rate","robbery_rate","homicide_rate"
"82","Missouri","2012",268762,7450,1956.47,3045.44,218,58.09,782740,456,117.83,3426,913.07,11550,0.0147558576283312,0.00951784756113141,0.000582568924547104,0.00437693231468942,0.000278508827963308
"83","Missouri","2013",277851,6886,1793.05,2855.98,219,58.94,784077,725,188.74,3123,815.25,10953,0.013969291281341,0.00878230071791418,0.000924654083718818,0.00398302717717775,0.000279309302530236
"84","Missouri","2014",284729.4,7123,1856.84,2936.58,238,66.78,786991,691,175.54,3188,837.44,11240,0.0142822471921534,0.00905092942613067,0.000878027830051424,0.0040508722463154,0.000302417689655917
"85","Missouri","2015",294750.3,8052,2067.56,3234.4,297,82.32,790468,629,160.26,3493,924.26,12471,0.01577672973479,0.0101863706057677,0.000795731136491294,0.00441890120789203,0.000375726784638973
"86","Nebraska","2011",99613.4,1350,327.19,559.61,43,10.42,412608,220,53.32,696,168.68,2309,0.00559611059407476,0.00327187063750582,0.000533193733519466,0.00168683108422522,0.000104215138824259
"87","Nebraska","2012",102269,1442,345,594.54,41,9.81,417970,187,44.74,815,194.99,2485,0.00594540278010384,0.00345000837380673,0.000447400531138598,0.00194990071057731,9.809316458119e-05
"88","Nebraska","2013",107604,1505,354.05,576.13,42,9.88,425076,184,43.29,718,168.91,2449,0.00576132268112055,0.00354054333813248,0.000432863770243439,0.00168910971214559,9.88058605990458e-05
"89","Nebraska","2014",111330.7,1523,347.35,560.59,32,7.3,438465,180,41.05,723,164.89,2458,0.00560592065501237,0.00347348134970864,0.00041052307481783,0.00164893435051829,7.29818799676143e-05
"90","Nebraska","2015",115269.6,1452,321.06,514.98,48,10.61,452252,174,38.47,655,144.83,2329,0.00514978374888337,0.00321059940033433,0.000384741250453287,0.00144830758072933,0.000106135517366424
"91","Nevada","2011",126657.1,6587,451.64,741.39,82,5.62,1458474,651,44.64,3493,239.5,10813,0.00741391344652013,0.00451636436439731,0.000446356945684325,0.00239496898813417,5.62231483043236e-05
"92","Nevada","2012",128043,7102,480.06,783.97,76,5.14,1479393,596,40.29,3824,258.48,11598,0.00783970182365335,0.00480061755057649,0.000402867932996844,0.00258484391909384,5.13724209861747e-05
"93","Nevada","2013",130621,6500,433.2,758.04,97,6.46,1500455,705,46.99,4072,271.38,11374,0.00758036728858913,0.0043320192874828,0.000469857476565442,0.00271384346748153,6.46470570593587e-05
"94","Nevada","2014",135026.5,7089,463.06,841.07,122,7.97,1530899,780,50.95,4885,319.09,12876,0.00841074427509587,0.00463061247018908,0.000509504546021651,0.0031909355221997,7.96917366854378e-05
"95","Nevada","2015",144378.9,8139,521.02,920.73,127,8.13,1562134,1107,70.86,5010,320.72,14383,0.00920727671249713,0.00521018043266455,0.000708645993237456,0.00320715124310719,8.12990434879466e-05
"96","New Jersey","2011",499114.9,1114,400.63,1166.28,94,33.81,278064,58,20.86,1977,710.99,3243,0.0116627826687381,0.00400627193739571,0.000208585073939812,0.00710987398584499,0.000338051671557627
"97","New Jersey","2012",519746,1093,391.89,1154.51,96,34.42,278906,55,19.72,1976,708.48,3220,0.0115451083877722,0.00391888306454504,0.00019719905631288,0.00708482427771364,0.000344201989200663
"98","New Jersey","2013",533687,926,332.8,1263.63,112,40.25,278246,45,16.17,2433,874.41,3516,0.0126363002522947,0.00332799033948377,0.000161727392307526,0.00874406101076026,0.000402521509743177
"99","New Jersey","2014",546831.5,944,338.22,1078.07,94,33.68,279110,49,17.56,1922,688.62,3009,0.0107806957830246,0.00338217906918419,0.000175558023718247,0.00688617390992799,0.000336784780194189
"100","New Jersey","2015",569391.3,1068,382.64,1100.64,107,38.34,279110,104,37.26,1793,642.4,3072,0.0110064132420909,0.00382644835369568,0.000372612948299953,0.00642399054136362,0.000383361398731683
"101","New Mexico","2011",86625,2910,527.21,762.74,38,6.88,551961,264,47.83,998,180.81,4210,0.00762735048309573,0.00527211161658161,0.000478294662122867,0.00180809876060084,6.88454437904127e-05
"102","New Mexico","2012",87602,2740,494.87,749.71,41,7.4,553684,278,50.21,1092,197.22,4151,0.00749705608253083,0.0049486710831449,0.000502091445662147,0.0019722440959103,7.40494578134821e-05
"103","New Mexico","2013",88411,2803,502.18,774.86,37,6.63,558165,439,78.65,1046,187.4,4325,0.00774860480323919,0.00502181254646923,0.000786505782340347,0.00187399783218224,6.62886422473641e-05
"104","New Mexico","2014",92495.9,3121,558.44,882.85,30,5.37,558874,402,71.93,1381,247.1,4934,0.00882846580803544,0.00558444300504228,0.000719303456593078,0.00247103998396776,5.36793624323193e-05
"105","New Mexico","2015",90849.4,3273,584.76,965.84,43,7.68,559721,404,72.18,1686,301.22,5406,0.00965838337314483,0.00584755619317481,0.000721788176609418,0.00301221501426604,7.68239890945668e-05
"106","New York","2011",1236061.4,33198,1129.32,2139.18,590,23.04,10868031,1299,66.71,22693,920.1,57780,0.00531651041481203,0.00305464715733696,0.000119524870696449,0.00208805072418362,5.4287662595e-05
"107","New York","2012",1322448,34926,1224.68,2217.48,502,26.19,10954585,1398,75.02,22993,891.59,59819,0.00546063588899077,0.00318825405070114,0.000127617796566461,0.00209893848101046,4.58255607127061e-05
"108","New York","2013",1355581,35065,1177.94,2130.32,421,25.29,11054215,1322,74.97,21818,852.1,58626,0.00530349735372435,0.00317209317893672,0.000119592390775826,0.00197372676395384,3.80850200579598e-05
"109","New York","2014",1427812.7,34662,1142.71,2067.27,428,29.88,11134985,2577,110.77,18975,783.93,56642,0.00508685013944788,0.00311289148570923,0.000231432732060259,0.00170408851022251,3.84374114558753e-05
"110","New York","2015",1488200.7,33763,1123.64,1953.41,430,23.03,11211585,2564,105.57,19211,701.19,55968,0.00499197927857658,0.00301143861461158,0.000228692018122326,0.00171349546027613,3.83531855665368e-05
"111","North Carolina","2011",427205.6,3801,587.5,1027.85,73,11.25,1198492,345,58.66,2292,370.44,6511,0.00543266037653985,0.00317148550011181,0.000287861746261135,0.0019124032534218,6.09098767451097e-05
"112","North Carolina","2012",439571,4150,625.65,1071.07,69,10.47,1229098,336,54.45,2463,380.5,7018,0.00570987830099797,0.003376459810365,0.000273371203923528,0.00200390855733229,5.6138729377153e-05
"113","North Carolina","2013",455522,3986,588.1,1000.33,71,9.84,1266631,309,45.88,2410,356.52,6776,0.00534962431836896,0.00314693071620701,0.000243954237658797,0.00190268515455567,5.60542099474906e-05
"114","North Carolina","2014",475227.2,4164,592.12,984.44,63,9.13,1295279,292,43.22,2265,339.97,6784,0.00523748165453157,0.00321475141649019,0.000225434057064154,0.00174865801113119,4.86381698460332e-05
"115","North Carolina","2015",503467.3,4597,623.38,1059.92,78,10.83,1316180,324,49.25,2625,376.47,7624,0.00579252077983255,0.00349268337157532,0.000246166937652905,0.00199440805968788,5.926241091644e-05
"116","Ohio","2011",525388.4,4190,982.25,3066.55,222,50.21,1481875,1140,229.01,8183,1805.09,13735,0.0092686630113876,0.00282749894559258,0.000769295655841417,0.00552205820328975,0.000149810206663855
"117","Ohio","2012",540819,3801,899.7,2971.88,203,46.36,1487369,1162,235.89,8014,1789.94,13180,0.00886128459044124,0.00255551917513408,0.000781245272692923,0.00538803753473415,0.000136482607880089
"118","Ohio","2013",561046,3963,932.15,2994.23,206,48.06,1502036,1346,270.33,7571,1743.69,13086,0.00871217467490792,0.00263841878623415,0.000896117003853436,0.00504049170592449,0.000137147178895845
"119","Ohio","2014",593030,4364,978.9,2811.14,208,46.6,1517137,1530,305.4,6462,1480.25,12564,0.00828138790366328,0.0028764706153762,0.00100847846964381,0.00425933847767209,0.000137100340971185
"120","Ohio","2015",609633.9,2704,578.58,1471.3,143,31.19,1146223,1042,174.15,3503,687.38,7392,0.00644900686864598,0.00235905229610643,0.00090907266736054,0.00305612433182723,0.000124757573351782
"121","Oklahoma","2011",165035.6,6096,1249.09,1871.11,107,22.26,982309,543,114.4,2322,485.34,9068,0.0092313111251144,0.00620578657021365,0.000552779217130251,0.00236381830971721,0.000108927028053291
"122","Oklahoma","2012",173484,6320,1270.48,1909.02,127,24.8,994511,705,144.53,2271,469.22,9423,0.00947500832067217,0.00635488194700712,0.000708891103265826,0.00228353431988183,0.00012770095051739
"123","Oklahoma","2013",182618,5695,1152.97,1796.16,122,25.46,999532,823,168.93,2185,448.82,8825,0.00882913203379181,0.00569766650792571,0.000823385344341152,0.00218602305879151,0.000122057122733439
"124","Oklahoma","2014",195689,5115,999.14,1578.96,91,18.79,1017531,747,148.57,2046,412.47,7999,0.00786118555601746,0.00502687387411293,0.000734129967539073,0.00201074954964517,8.94321647202886e-05
"125","Oklahoma","2015",185460.5,5437,1075.15,1669.16,128,25.28,1032141,845,167.02,2046,401.71,8456,0.0081926791010143,0.00526769113909824,0.000818686594176571,0.00198228730376954,0.000124014063969942
"126","Oregon","2011",170621.3,1842,312.21,514.75,20,3.39,589991,258,43.73,917,155.43,3037,0.00514753614885651,0.00312208152327747,0.000437294806191959,0.00155426099720165,3.38988221854232e-05
"127","Oregon","2012",174493,1892,316.37,517.19,20,3.34,598037,231,38.63,950,158.85,3093,0.0051719208008869,0.0031636838523369,0.000386263726157412,0.00158853047553914,3.34427468534556e-05
"128","Oregon","2013",179383,1776,291.56,482.82,14,2.3,609136,234,38.42,917,150.54,2941,0.00482815003546006,0.00291560505371543,0.000384150665861154,0.0015054109427123,2.29833731711802e-05
"129","Oregon","2014",189344.3,1776,288.47,472.82,26,4.22,615672,262,42.56,847,137.57,2911,0.0047281669460362,0.00288465286711106,0.00042555126755805,0.00137573253290713,4.22302784599592e-05
"130","Pennsylvania","2011",618987.7,10104,980.56,1995.62,368,35.42,1839482,900,76.12,9372,903.51,20744,0.0112770877888449,0.00549285070470926,0.00048926817440997,0.00509491258952249,0.000200056320203188
"131","Pennsylvania","2012",641317,9783,923.04,1912.04,372,34.65,1851069,927,72.24,9118,882.12,20200,0.0109126131981034,0.00528505420381412,0.000500791704685239,0.00492580233367854,0.000200964955925468
"132","Pennsylvania","2013",663901,9166,897.76,1833.63,292,30.53,1860785,1357,107.7,8518,797.64,19333,0.0103897011207635,0.0049258780568416,0.000729262112495533,0.004577637932378,0.000156923019048412
"133","Pennsylvania","2014",690675.4,8809,906.59,1819.53,317,38.34,1866675,1298,107,7956,767.59,18380,0.0098463846143544,0.00471908607550859,0.000695354038598042,0.00426212382980433,0.000169820670443436
"134","Pennsylvania","2015",710040.5,8935,876.55,1735.11,337,36.43,1874680,1404,111.04,7623,711.09,18299,0.0097611325666247,0.00476614675571297,0.000748927817014104,0.0040662939808394,0.000179764013058229
"135","Tennessee","2011",267659.1,11659,1835.4,2767.42,167,26.08,1265514,793,125.35,4972,780.59,17591,0.0139002808345068,0.00921285738443036,0.000626622858380073,0.0039288384008395,0.000131962190856838
"136","Tennessee","2012",283722,12703,1979.05,2914.58,197,30.53,1278322,731,113.9,5100,791.11,18731,0.0146528026584851,0.00993724585824229,0.000571843400958444,0.00398960512296589,0.000154108276318486
"137","Tennessee","2013",292804,11729,1807.35,2704.6,160,24.52,1293364,921,142.48,4747,730.27,17557,0.0135746781261888,0.00906859940434402,0.000712096517299074,0.0036702737976316,0.000123708406914063
"138","Tennessee","2014",304150.4,12704,1948.68,2869.11,181,27.7,1302611,1010,155.06,4814,737.66,18709,0.0143626915479756,0.00975271972983492,0.000775365784566536,0.00369565434346862,0.000138951690105488
"139","Tennessee","2015",322893.1,12472,1895.52,2841.16,207,31.46,1315965,1037,157.6,4978,756.57,18694,0.0142055449802996,0.00947745570740863,0.000788014878815166,0.00378277537776461,0.000157299016311224
"140","Texas","2011",1331220.6,28614,2489.95,4143.47,536,45.08,7321721,2609,249.39,17282,1359.07,49041,0.00669801539829229,0.00390809756340074,0.00035633698689147,0.00236037401589053,7.32068321095546e-05
"141","Texas","2012",1411379,27833,2409.66,4093.61,577,46.39,7456778,2619,248.15,18603,1389.38,49632,0.00665595784130894,0.00373257726058091,0.000351224080963655,0.00249477723488617,7.73792648782088e-05
"142","Texas","2013",1502250,27363,2323.58,4039.4,532,41.8,7542026,2854,265.27,19324,1408.75,50073,0.00663919747823728,0.0036280702294052,0.000378412909210337,0.00256217626404364,7.05380755781006e-05
"143","Texas","2014",1565390.2,27095,2257.88,4026.33,580,43.83,7692874,4352,410.38,18740,1314.23,50767,0.00659922416511696,0.00352209070368239,0.000565718351814939,0.002436020660159,7.53944494606307e-05
"144","Texas","2015",1568641.9,27666,2259.24,4014.62,637,43.93,7882885,4350,389.74,19290,1321.69,51943,0.00658933880172044,0.0035096287716997,0.000551828423223223,0.00244707362850023,8.08079782972858e-05
"145","Utah","2011",124539.4,753,396.24,647.24,7,3.68,190038,128,67.35,342,179.96,1230,0.0064723897325798,0.00396236542165251,0.000673549500626191,0.0017996400719856,3.68347383154948e-05
"146","Utah","2012",128721,854,443.72,676.49,8,4.16,192465,123,63.91,317,164.71,1302,0.00676486633933442,0.0044371703946172,0.000639077234821916,0.0016470527108825,4.15659990128075e-05
"147","Utah","2013",134252,846,444.69,781.62,7,3.68,190246,213,111.96,421,221.29,1487,0.00781619587271217,0.00444687404728615,0.00111960304027417,0.00221292431903956,3.67944661122967e-05
"148","Utah","2014",141342.9,773,401.83,754.8,7,3.64,192368,223,115.92,449,233.41,1452,0.007548032936871,0.00401833984862347,0.00115923646344506,0.00233406803626383,3.63885885386343e-05
"149","Utah","2015",149576.7,874,455.23,855.24,8,4.17,191992,291,151.57,469,244.28,1642,0.00855243968498687,0.00455227301137547,0.00151568815367307,0.00244281011708821,4.16684028501188e-05
"150","Virginia","2011",432392.7,675,101.92,263.88,26,4.42,1498430,165,24.15,836,133.4,1702,0.0011358555287868,0.000450471493496526,0.000110115253965818,0.000557917286760142,1.73514945643106e-05
"151","Virginia","2012",444950,730,113.1,247.77,37,6.18,1520311,172,23.45,670,105.03,1609,0.00105833609044465,0.000480164913626225,0.000113134746772206,0.000440699304287083,2.43371257591374e-05
"152","Virginia","2013",455070,681,97.45,255.85,29,4.87,1541908,319,48.38,714,105.15,1743,0.00113041763840644,0.000441660591941932,0.000206886532789246,0.000463062647058061,1.88078666172041e-05
"153","Virginia","2014",463781.7,685,99.49,235.81,27,4.68,1552802,274,39.92,650,91.73,1636,0.00105357927153623,0.000441138020172565,0.000176455208069026,0.000418598121331631,1.73879219630062e-05
"154","Virginia","2015",484690.5,621,86.81,226.66,33,5.47,1554497,233,34.55,713,99.84,1600,0.00102927184806404,0.000399486136029854,0.000149887712874325,0.000458669267293536,2.12287318663207e-05
"155","Washington","2011",379539,2126,343.9,592.68,20,3.24,618209,100,16.18,1418,229.37,3664,0.00592679821872538,0.00343896643368181,0.000161757593305824,0.00229372267307658,3.23515186611648e-05
"156","Washington","2012",400863,2198,350.63,603.32,25,3.99,626865,123,19.62,1436,229.08,3782,0.00603319694033006,0.00350633709012307,0.000196214495944103,0.00229076435915229,3.988099511059e-05
"157","Washington","2013",419345,1986,308.95,584.93,18,2.8,642814,154,23.96,1602,249.22,3760,0.00584928144066557,0.00308954067584091,0.000239571633474069,0.00249216725211336,2.80018792372288e-05
"158","Washington","2014",442442.4,2258,340.36,603.7,26,3.92,663410,154,23.21,1567,236.2,4005,0.00603699069956739,0.00340362671651015,0.000232133974465263,0.00236203855835758,3.9191450234395e-05
"159","Washington","2015",469944,2394,350.15,598.65,23,3.36,683700,144,21.06,1532,224.07,4093,0.00598654380576276,0.00350153576129882,0.000210618692408951,0.0022407488664619,3.36404855930964e-05
"160","Wisconsin","2011",263881.6,3255,544.84,1110.93,86,14.4,597426,205,34.31,3091,517.39,6637,0.0111093256738073,0.00544837352241114,0.000343138731826201,0.00517386253695018,0.000143950882619772
"161","Wisconsin","2012",274344,4508,752.09,1323.33,93,15.52,599395,234,39.04,3097,516.69,7932,0.013233343621485,0.0075209169245656,0.000390393646927318,0.00516687660057224,0.000155156449419832
"162","Wisconsin","2013",282385,4405,733.18,1363.84,104,17.31,600805,401,66.74,3284,546.6,8194,0.0136383685222327,0.00733182979502501,0.000667437854212265,0.00546599978362364,0.00017310108937176
"163","Wisconsin","2014",293519.4,4877,812.33,1484.74,86,14.32,600374,396,65.96,3555,592.13,8914,0.0148474117799905,0.00812326982847359,0.000659588856279586,0.00592130905069174,0.000143244044545567
"164","Wisconsin","2015",304763.9,5253,874.92,1596.1,145,24.15,600400,436,72.62,3749,624.42,9583,0.0159610259826782,0.0087491672218521,0.00072618254497002,0.00624417055296469,0.000241505662891406
